V,1000,regwiz,/regwiz
V,1001,Support Desktop,/support
V,1002,End User Produced View,/athome
V,1001,Support Desktop,/support
V,1003,Knowledge Base,/kb
V,1001,Support Desktop,/support
V,1003,Knowledge Base,/kb
V,1004,Microsoft.com Search,/search
V,1005,Norway,/norge
V,1006,misc,/misc
V,1003,Knowledge Base,/kb
V,1004,Microsoft.com Search,/search
V,1007,International IE content,/ie_intl
V,1004,Microsoft.com Search,/search
V,1008,Free Downloads,/msdownload
V,1009,Windows Family of OSs,/windows
V,1010,Visual Basic,/vbasic
V,1000,regwiz,/regwiz
V,1011,MS Office Development,/officedev
V,1012,Outlook Development,/outlookdev
V,1013,Visual Basic Support,/vbasicsupport
V,1014,Office Free Stuff,/officefreestuff
V,1015,Excel,/msexcel
V,1016,MS Excel,/excel
V,1017,Products,/products
V,1018,isapi,/isapi
V,1019,MS PowerPoint,/mspowerpoint
V,1020,Developer Network,/msdn
V,1021,Visual C,/visualc
V,1022,Typography Site,/truetype
V,1023,Spain,/spain
V,1024,Internet Information Server,/iis
V,1025,Web Site Builder's Gallery,/gallery
V,1026,Internet Site Construction for Developers,/sitebuilder
V,1027,Internet Development,/intdev
V,1017,Products,/products
V,1026,Internet Site Construction for Developers,/sitebuilder
V,1028,OLE Development,/oledev
V,1004,Microsoft.com Search,/search
V,1017,Products,/products
V,1004,Microsoft.com Search,/search
V,1018,isapi,/isapi
V,1029,Clip Gallery Live,/clipgallerylive
V,1008,Free Downloads,/msdownload
V,1030,Windows NT Server,/ntserver
V,1031,MS Office,/msoffice
V,1032,Games,/games
V,1003,Knowledge Base,/kb
V,1033,MS Store Logo Merchandise,/logostore
V,1002,End User Produced View,/athome
V,1008,Free Downloads,/msdownload
V,1001,Support Desktop,/support
V,1034,Internet Explorer,/ie
V,1002,End User Produced View,/athome
V,1017,Products,/products
V,1004,Microsoft.com Search,/search
V,1018,isapi,/isapi
V,1035,Windows95 Support,/windowssupport
V,1036,Corporate Desktop Evaluation,/organizations
V,1008,Free Downloads,/msdownload
V,1037,Windows 95,/windows95
V,1009,Windows Family of OSs,/windows
V,1038,SiteBuilder Network Membership,/sbnmember
V,1026,Internet Site Construction for Developers,/sitebuilder
V,1039,Internet Service Providers,/isp
V,1040,MS Office Info,/office
V,1032,Games,/games
V,1041,Developer Workshop,/workshop
V,1042,Visual Studio,/vstudio
V,1034,Internet Explorer,/ie
V,1043,Connecting Small Business,/smallbiz
V,1008,Free Downloads,/msdownload
V,1017,Products,/products
V,1004,Microsoft.com Search,/search
V,1008,Free Downloads,/msdownload
V,1044,Developer Media Development,/mediadev
V,1045,NetMeeting,/netmeeting
V,1034,Internet Explorer,/ie
V,1008,Free Downloads,/msdownload
V,1046,IE Support,/iesupport
V,1034,Internet Explorer,/ie
V,1295,Training,/train_cert
V,1034,Internet Explorer,/ie
V,1017,Products,/products
V,1048,MS Publisher,/publisher
V,1045,NetMeeting,/netmeeting
V,1049,Support Network Program Information,/supportnet
V,1018,isapi,/isapi
V,1008,Free Downloads,/msdownload
V,1035,Windows95 Support,/windowssupport
V,1027,Internet Development,/intdev
V,1046,IE Support,/iesupport
V,1009,Windows Family of OSs,/windows
V,1031,MS Office,/msoffice
V,1041,Developer Workshop,/workshop
V,1001,Support Desktop,/support
V,1003,Knowledge Base,/kb
V,1002,End User Produced View,/athome
V,1034,Internet Explorer,/ie
V,1050,Macintosh Office,/macoffice
V,1032,Games,/games
V,1037,Windows 95,/windows95
V,1009,Windows Family of OSs,/windows
V,1004,Microsoft.com Search,/search
V,1008,Free Downloads,/msdownload
V,1051,MS Schedule+ News,/scheduleplus
V,1038,SiteBuilder Network Membership,/sbnmember
V,1031,MS Office,/msoffice
V,1052,MS Word News,/word
V,1053,Jakarta,/visualj
V,1018,isapi,/isapi
V,1051,MS Schedule+ News,/scheduleplus
V,1054,Exchange,/exchange
V,1018,isapi,/isapi
V,1035,Windows95 Support,/windowssupport
V,1008,Free Downloads,/msdownload
V,1009,Windows Family of OSs,/windows
V,1026,Internet Site Construction for Developers,/sitebuilder
V,1040,MS Office Info,/office
V,1052,MS Word News,/word
V,1041,Developer Workshop,/workshop
V,1003,Knowledge Base,/kb
V,1034,Internet Explorer,/ie
V,1048,MS Publisher,/publisher
V,1008,Free Downloads,/msdownload
V,1055,MSHome Kids Stuff,/kids
V,1056,sports,/sports
V,1017,Products,/products
V,1032,Games,/games
V,1008,Free Downloads,/msdownload
V,1027,Internet Development,/intdev
V,1026,Internet Site Construction for Developers,/sitebuilder
V,1041,Developer Workshop,/workshop
V,1032,Games,/games
V,1001,Support Desktop,/support
V,1003,Knowledge Base,/kb
V,1018,isapi,/isapi
V,1057,MS PowerPoint News,/powerpoint
V,1000,regwiz,/regwiz
V,1058,SP Referral (ART),/referral
V,1017,Products,/products
V,1049,Support Network Program Information,/supportnet
V,1001,Support Desktop,/support
V,1034,Internet Explorer,/ie
V,1008,Free Downloads,/msdownload
V,1034,Internet Explorer,/ie
